symbol,name,sector,index
CYIENTDLM,Cyient DLM Ltd,Electronics,PORTFOLIO
DHOOTTRANS,Dhoot Transmission Ltd,Automotive,PORTFOLIO
INDOMIM,INDO-MIM Ltd,Engineering,PORTFOLIO
ATHERENERG,Ather Energy Ltd,Automotive,PORTFOLIO
MARINE,Marine Electricals (India) Ltd,Electrical Equipment,PORTFOLIO
SETL,Standard Engineering Technology Ltd,Engineering,PORTFOLIO
STLTECH,Sterlite Technologies Ltd,Telecom,PORTFOLIO
ETERNAL,Eternal Ltd,Consumer Internet,PORTFOLIO
SYRMA,Syrma SGS Technology Ltd,Electronics,PORTFOLIO
