symbol,name,industry,index
UPL,UPL Ltd.,Chemicals,NIFTY200
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,NIFTY200
UNIONBANK,Union Bank of India,Financial Services,NIFTY200
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,NIFTY200
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,NIFTY200
VEDL,Vedanta Ltd.,Metals & Mining,NIFTY200
VMM,Vishal Mega Mart Ltd.,Consumer Services,NIFTY200
IDEA,Vodafone Idea Ltd.,Telecommunication,NIFTY200
VOLTAS,Voltas Ltd.,Consumer Durables,NIFTY200
WAAREEENER,Waaree Energies Ltd.,Capital Goods,NIFTY200
WIPRO,Wipro Ltd.,Information Technology,NIFTY200
YESBANK,Yes Bank Ltd.,Financial Services,NIFTY200
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,NIFTY200
